,year,importer,supply_concentration
606,1997,NER,0.3547798135874017
607,1997,NGA,0.17825149532060458
608,1997,NIC,0.31107739063329204
609,1997,NLD,0.19480781315763399
610,1997,NOR,0.13018788466749473
611,1997,NZL,0.14313791796320072
612,1997,OMN,0.5931805449330416
613,1997,PAN,0.8478133704133134
614,1997,PER,0.3045450384206337
615,1997,PHL,0.13197244537871522
616,1997,POL,0.07857885979952059
617,1997,PRT,0.21938069449505096
618,1997,PRY,0.19308569718481375
619,1997,PYF,0.5167755613806839
620,1997,ROU,0.0889604239292251
621,1997,RUS,0.19920813724326933
622,1997,RWA,0.31445964036551005
623,1997,SCG,0.18344935699861833
624,1997,SDN,0.4111464610713376
625,1997,SEN,0.46297842643189885
626,1997,SGP,0.18209229940086336
627,1997,SVK,0.223181564228155
628,1997,SVN,0.17377726920058148
629,1997,SWE,0.14510540556597465
630,1997,SYC,0.5184616658076305
631,1997,TGO,0.39465316813767215
632,1997,THA,0.29751442188327804
633,1997,TKM,0.43061771726594855
634,1997,TTO,0.6628572161148385
635,1997,TUN,0.14281490297762084
636,1997,TUR,0.14625316189762344
637,1997,TUV,1.0
638,1997,TZA,0.16054546601743136
639,1997,UGA,0.3208527601017344
640,1997,UKR,0.3079557716023728
641,1997,URY,0.1372454381675479
642,1997,USA,0.16127810516899818
643,1997,VCT,0.6759485492833992
644,1997,VEN,0.5370914649142864
645,1997,ZA1,0.106964176667854
646,1997,ZMB,0.4141575212194059
647,1998,ALB,0.5431045298025637
648,1998,AND,0.7251748538643141
649,1998,ARG,0.13102237897276595
650,1998,AUS,0.1266564030393876
651,1998,AUT,0.15345237793399077
652,1998,AZE,0.7530918470021231
653,1998,BDI,0.6772226670157278
654,1998,BEL,0.18883743456280472
655,1998,BEN,0.5652566827568773
656,1998,BFA,0.3422953436851384
657,1998,BGD,0.31193578588397397
658,1998,BGR,0.0855744808020836
659,1998,BHS,0.7093656306857056
660,1998,BLR,0.3983065175590994
661,1998,BLZ,0.8782762867849795
662,1998,BOL,0.453101928425676
